"Is USO guys, not UFO. UFO is an Unidentified &quot;Flying&quot; Object while USO is an Unidentified &quot;Submerged&quot; Object.",2021-10-09T10:49:53Z,451
My prayers are with you all in phillippines you fisherman,2021-08-07T23:32:38Z,35
Purpose of that is for deterrence against all it&#39;s enemies specifically United State of America. That is in case of war enemies&#39; choked or counter attacked or attacked should their navy passes or enters south china passage.,2021-11-28T10:15:20Z,6
Didn&#39;t expect SCMP to cover news like this. Bravo.,2021-07-13T13:31:29Z,410
The Chinese Communist Party brought it upon themselves. All democracies need to stand together. Thank you Prime Minister Modi and India.,2021-07-23T00:13:26Z,385
Still amazed by vertical landing jet,2021-11-09T03:31:11Z,22
This was not a mission but an act of flexing its muscles to its eastern Asia colonized countries about its presence.,2021-11-10T23:52:56Z,15
This court should lend some of its courage to WHO.,2021-07-12T19:05:56Z,75
China: I step on the place 1000 years ago so this belong to me<br>British: <b>heavy breathing</b>,2020-07-23T13:41:20Z,4012
"I saw a chinese news agency video covering about this issue. Then it said, &quot;The Philippine Navy began to harass chinese fishermen.&quot; Although the &quot;Philippine Navy&quot; they are talking about is only a bamboo fishing boat with no guns or weapons.",2021-05-28T04:54:08Z,569
"Well China in that case, India owns the Indian ocean",2020-06-19T06:32:57Z,2343
&quot;We are going to war in the south china sea in 5 to 10 years&quot;<br>Uploaded 4 years ago<br><br>Nervous sweating,2021-05-15T02:02:44Z,914
The Philippines fought for its rights and won but the UN has to assert that not the Philippines alone.<br>Its the UN that is doing nothing.,2021-01-17T08:48:58Z,1377
well done Germany!,2021-09-01T13:41:44Z,3
The Philippines have a part of that fricking Island!We even won in court!,2021-03-23T19:41:15Z,164
"The Quad (US, Japan, India, and Australia) countries is a formidable alliance.",2021-04-08T07:37:05Z,8
"It&#39;s official, the west pulled out of Afghanistan to concentrate on china.",2021-09-08T16:15:43Z,560
The way those  jets hover and vertical land is so graceful.,2021-08-08T08:52:53Z,1
